mu,psi_ref,psi_hat
-1,0.107981933026376,0.477249864706759
-0.999,0.108414508937671,0.477249864706759
-0.998,0.108848382354819,0.477249864706759
-0.997,0.109283554992494,0.477249864706759
-0.996,0.109720028556609,0.477249864706759
-0.995,0.110157804744252,0.477249864706759
-0.994,0.110596885243619,0.477249864706759
-0.993,0.11103727173396,0.477249864706759
-0.992,0.11147896588551,0.477249864706759
-0.991,0.111921969359429,0.477249864706759
-0.99,0.112366283807736,0.477249864706759
-0.989,0.112811910873253,0.477249864706759
-0.988,0.113258852189533,0.477249864706759
-0.987,0.113707109380807,0.477249864706759
-0.986,0.114156684061912,0.477249864706759
-0.985,0.114607577838234,0.477249864706759
-0.984,0.115059792305642,0.477249864706759
-0.983,0.115513329050425,0.477249864706759
-0.982,0.11596818964923,0.477249864706759
-0.981,0.116424375668999,0.477249864706759
-0.98,0.116881888666903,0.477249864706759
-0.979,0.117340730190282,0.477249864706759
-0.978,0.117800901776579,0.477249864706759
-0.977,0.118262404953277,0.477249864706759
-0.976,0.118725241237837,0.477249864706759
-0.975,0.119189412137632,0.477249864706759
-0.974,0.119654919149887,0.477249864706759
-0.973,0.120121763761609,0.477249864706759
-0.972,0.120589947449531,0.477249864706759
-0.971,0.121059471680043,0.477249864706759
-0.97,0.12153033790913,0.477249864706759
-0.969,0.122002547582305,0.477249864706759
-0.968,0.122476102134553,0.477249864706759
-0.967,0.122951002990258,0.477249864706759
-0.966,0.123427251563144,0.477249864706759
-0.965,0.12390484925621,0.477249864706759
-0.964,0.124383797461667,0.477249864706759
-0.963,0.124864097560872,0.477249864706759
-0.962,0.125345750924264,0.477249864706759
-0.961,0.125828758911301,0.477249864706759
-0.96,0.126313122870397,0.477249864706759
-0.959,0.126798844138855,0.477249864706759
-0.958,0.127285924042805,0.477249864706759
-0.957,0.127774363897137,0.477249864706759
-0.956,0.128264165005441,0.477249864706759
-0.955,0.128755328659939,0.477249864706759
-0.954,0.129247856141422,0.477249864706759
-0.953,0.129741748719186,0.477249864706759
-0.952,0.130237007650969,0.477249864706759
-0.951,0.130733634182883,0.477249864706759
-0.95,0.131231629549353,0.477249864706759
-0.949,0.131730994973051,0.477249864706759
-0.948,0.132231731664831,0.477249864706759
-0.947,0.132733840823668,0.477249864706759
-0.946,0.13323732363659,0.477249864706759
-0.945,0.133742181278614,0.477249864706759
-0.944,0.134248414912685,0.477249864706759
-0.943,0.134756025689607,0.477249864706759
-0.942,0.135265014747981,0.477249864706759
-0.941,0.135775383214141,0.477249864706759
-0.94,0.136287132202089,0.477249864706759
-0.939,0.13680026281343,0.477249864706759
-0.938,0.137314776137308,0.477249864706759
-0.937,0.137830673250344,0.477249864706759
-0.936,0.138347955216565,0.477249864706759
-0.935,0.138866623087348,0.477249864706759
-0.934,0.139386677901351,0.477249864706759
-0.933,0.139908120684449,0.477249864706759
-0.932,0.140430952449668,0.477249864706759
-0.931,0.140955174197127,0.477249864706759
-0.93,0.141480786913967,0.477249864706759
-0.929,0.142007791574288,0.477249864706759
-0.928,0.142536189139089,0.477249864706759
-0.927,0.143065980556199,0.477249864706759
-0.926,0.143597166760214,0.477249864706759
-0.925,0.144129748672436,0.477249864706759
-0.924,0.144663727200804,0.477249864706759
-0.923,0.145199103239832,0.477249864706759
-0.922,0.145735877670547,0.477249864706759
-0.921,0.146274051360423,0.477249864706759
-0.92,0.146813625163314,0.477249864706759
-0.919,0.147354599919396,0.477249864706759
-0.918,0.147896976455101,0.477249864706759
-0.917,0.148440755583049,0.477249864706759
-0.916,0.148985938101989,0.477249864706759
-0.915,0.149532524796735,0.477249864706759
-0.914,0.150080516438099,0.477249864706759
-0.913,0.15062991378283,0.477249864706759
-0.912,0.151180717573548,0.477249864706759
-0.911,0.151732928538685,0.477249864706759
-0.91,0.152286547392415,0.477249864706759
-0.909,0.152841574834595,0.477249864706759
-0.908,0.1533980115507,0.477249864706759
-0.907,0.153955858211762,0.477249864706759
-0.906,0.154515115474301,0.477249864706759
-0.905,0.155075783980268,0.477249864706759
-0.904,0.155637864356978,0.477249864706759
-0.903,0.156201357217047,0.477249864706759
-0.902,0.156766263158332,0.477249864706759
-0.901,0.157332582763865,0.477249864706759
-0.9,0.157900316601788,0.477249864706759
-0.899,0.158469465225298,0.477249864706759
-0.898,0.159040029172574,0.477249864706759
-0.897,0.159612008966723,0.477249864706759
-0.896,0.160185405115712,0.477249864706759
-0.895,0.160760218112308,0.477249864706759
-0.894,0.161336448434014,0.477249864706759
-0.893,0.161914096543007,0.477249864706759
-0.892,0.162493162886076,0.477249864706759
-0.891,0.16307364789456,0.477249864706759
-0.89,0.163655551984286,0.477249864706759
-0.889,0.164238875555504,0.477249864706759
-0.888,0.164823618992829,0.477249864706759
-0.887,0.165409782665178,0.477249864706759
-0.886,0.165997366925707,0.477249864706759
-0.885,0.166586372111749,0.477249864706759
-0.884,0.167176798544755,0.477249864706759
